Signs:A,Coordinate:0 12,iconName:door
Signs:B,Coordinate:11 0,iconName:door
Signs:C,Coordinate:12 0,iconName:door
Signs:D,Coordinate:13 29,iconName:door
Signs:E,Coordinate:29 27,iconName:trophy

Karakter:Stormtrooper,Kapi:A
Karakter:darthVader,Kapi:B
Karakter:darthVader,Kapi:C
Karakter:darthVader,Kapi:D

0	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	1
1	1	0	1	1	0	1	1	0	1	0	0	1	0	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1
0	1	1	0	1	1	1	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1
1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1
1	1	1	0	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0
0	1	1	1	1	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	1	0	1	0	1	1	1	1	1
1	1	0	1	0	1	1	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	0	1	0	0	1
1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
1	1	1	1	1	0	1	1	1	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1
1	1	0	1	1	0	1	0	0	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1
1	1	1	1	1	0	0	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1
1	0	0	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	1	1	1
0	0	1	0	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1	0	0	1	1	1	1	1	1
1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1
1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1
0	1	0	1	1	1	0	0	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1
1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	0	1	1	1	1	1	0	1	1
1	1	1	1	0	1	1	1	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	0	1	1	1	1	0	0
1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	0
0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	1	1	0	1	1	0	1	1	1	1	1	0	1
1	0	0	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	1	0	1	1	0	1	1	0	0	1	1	1
1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1
1	1	1	1	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	0	1
1	0	1	1	1	0	1	1	0	0	0	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	1	1	0
1	0	1	1	0	1	0	1	1	0	0	1	0	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	1	0
1	0	1	0	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1
1	1	0	1	1	1	1	1	0	0	1	1	1	1	1	0	1	0	1	1	0	0	1	0	1	1	1	1	1	1
0	0	0	0	1	1	1	0	1	1	1	0	0	1	1	0	1	0	0	0	1	1	0	1	1	1	1	0	0	1
1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	0	1	1
0	1	0	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	1	0	1	1	1	0	1
