Signs:A,Coordinate:0 5,iconName:door
Signs:B,Coordinate:4 0,iconName:door
Signs:C,Coordinate:12 0,iconName:door
Signs:D,Coordinate:13 5,iconName:door
Signs:E,Coordinate:4 10,iconName:door
Signs:F,Coordinate:13 9,iconName:trophy

Karakter:Stormtrooper,Kapi:B
Karakter:darthVader,Kapi:C

0	0	0	0	1	0	0	0	0	0	0	0	1	0
0	1	1	1	1	0	1	1	1	1	1	1	1	0
0	1	0	1	1	1	1	0	1	0	0	0	1	0
0	1	0	1	1	0	1	0	1	1	0	1	1	0
0	1	0	1	0	0	1	0	1	1	0	1	1	0
1	1	0	1	1	1	1	0	1	0	0	0	1	1
0	1	0	0	1	0	1	0	1	0	1	1	1	0
0	1	0	1	1	1	1	1	1	0	0	0	1	0
0	1	0	1	0	0	0	0	1	0	0	1	1	0
0	1	1	1	1	1	1	1	1	1	1	1	1	1
0	0	0	0	1	0	0	0	0	0	0	0	0	0
